,Project ID,Drive Time,Tilt,Tilt2,Azimuth,Azimuth2,Azimuth3,Panel QTY,System Rating (kW DC),Inverter Manufacturer,Array Type,Squirrel Screen,Consumption Monitoring,Truss / Rafter,Reinforcements,Rough Electrical Inspection,Interconnection Type,Module Length,Module Width,Module Weight,# of Arrays,# of reinforcement,Roof Type,Attachment Type,Portrait / Landscape,# of Stories,Install Season,Total Direct Time for Project for Hourly Employees (Including Drive Time),Total # of Days on Site,Total # Hourly Empoyees on Site,Estimated # of Salaried Employees on Site,Estimated Salary Hours,Estimated Total Direct Time,Estimated Total # of People on Site
0,1,21,33,,180,,,19,6.84,1,0,1,,0,0,0,0,67.8,40,43,1,0,0,0,0,2,0,19,1,2,2,19,38,4
1,2,23,45,,139,,,18,6.57,1,0,1,,1,1,1,0,67.8,40,43,1,2,0,0,0,1,0,33.5,2,2,2,33.5,67,4
2,3,21,24,,180,,,16,5.12,1,0,0,,0,0,0,2,66.3,39.4,41.2,2,0,0,0,0,1,0,25.33333333,2,2,2,25.33333333,50.66666667,4
3,4,38,20,,104,,,27,10.8,2,0,0,,0,0,0,9,79.3,39.4,51.8,1,0,0,0,0,1,0,27,2,2,2,27,54,4
4,5,38,20,,180,,,27,10.8,2,0,0,,0,0,0,9,79.3,39.4,51.8,1,0,0,0,2,1,0,27,2,2,2,27,54,4
5,6,45,18.4,,180,,,18,6.12,1,0,0,,0,0,0,0,68.5,40.5,43.9,1,0,0,1,0,1,0,17,1,2,2,17,34,4
6,7,24,26,,200,,,13,4.23,1,0,1,,0,0,1,2,65.43,39.45,41.6,1,0,0,0,0,2,0,19.5,1,2,2,19.5,39,4
7,8,21,10,,205,,,20,7.3,1,0,0,,1,0,1,6,67.8,40,43,1,0,0,0,0,1,0,38.25,3,2,2,38.25,76.5,4
8,9,30,18,,185,,,18,5.76,1,0,0,,0,0,0,1,65.94,39.25,39.7,1,0,0,1,0,2,0,25.75,2,2,2,25.75,51.5,4
9,10,6,31,,90,,,16,5.12,1,0,1,,1,1,1,6,65.94,39.25,39.7,1,10,0,0,1,1,0,33.75,2,2,2,33.75,67.5,4
10,11,16,26.6,,130,,,22,8.03,2,0,1,,0,0,0,0,67.8,40,43,2,0,0,0,0,2,0,43.5,4,2,2,43.5,87,4
11,12,51,45,,180,,,24,8.52,2,0,0,,0,0,0,11,67.8,40,43,1,0,0,0,0,2,0,12.75,1,1,2,25.5,38.25,3
12,13,10,45,,215,,,20,7.3,1,0,0,,1,0,0,11,67.8,40,43,1,0,0,0,0,2,0,37.5,2,2,2,37.5,75,4
13,14,36,35,27,230,140,,31,11.01,1,0,0,,0,0,0,10,67.8,40,43,5,0,0,0,0,1,0,35.5,3,2,2,35.5,71,4
14,15,9,24,,180,,,32,11.36,2,0,0,,0,0,1,8,67.8,40,43,3,0,0,0,0,2,0,40.5,3,3,2,27,67.5,5
15,16,30,32,,218,,,23,7.59,1,0,0,,0,0,0,1,66.53,39.21,39.7,2,0,0,0,0,1,0,29.5,2,2,2,29.5,59,4
16,17,21,24,,180,,,20,6.4,1,0,0,,0,0,0,0,39.4,66.9,41,2,0,0,0,0,2,0,20,1,2,2,20,40,4
17,18,25,14,,170,,,12,4.26,1,0,1,,1,0,1,6,66.93,40,39.7,1,0,1,2,0,1,1,24.25,2,2,2,24.25,48.5,4
18,19,7,36,,180,,,14,5.18,2,0,1,,0,0,1,2,70.67,39.98,41.9,1,0,0,0,0,1,0,33.5,2,2,2,33.5,67,4
19,20,49,10,18,190,,,43,18.28,1,0,0,,,1,0,0,81.9,40.6,55.1,1,2,2,3,1,1,1,82.25,4,3,2,54.83333333,137.0833333,5
20,21,44,18,,180,,,14,5.95,1,0,0,,1,0,0,7,81.9,40.6,55.1,1,0,0,0,0,1,1,25,1,3,2,16.66666667,41.66666667,5
21,22,11,10,38,235,,,20,7.4,2,0,1,,1,0,1,8,70.67,39.98,41.9,3,0,3,8,2,2,1,33.5,2,3,2,22.33333333,55.83333333,5
22,23,44,18,,180,,,49,21.07,1,0,0,,,0,0,4,81.89,40.56,55.11,1,0,2,3,1,1,1,116.75,7,3,2,77.83333333,194.5833333,5
23,24,40,26,,108,,,28,10.36,1,0,0,,0,0,0,11,70.67,39.98,41.9,2,0,0,0,0,2,1,10,1,1,2,20,30,3
24,25,17,18,21,185,,,24,8.76,2,0,0,,0,0,0,1,67.8,40,43,2,0,0,0,0,2,0,32,2,2,2,32,64,4
25,26,29,16,16,178,267,,12,4.44,2,0,1,,1,0,0,5,70.67,39.98,41.9,2,0,0,0,0,2,2,13.5,1,2,2,13.5,27,4
26,27,28,20,,,,,14,4.9,3,0,0,,0,0,1,0,69.44,41.26,46.5,2,0,0,0,0,2,1,31.25,2,3,2,20.83333333,52.08333333,5
27,28,25,24,,180,,,22,7.81,2,0,1,,0,0,1,1,68.5,41,41,3,0,0,0,0,2,1,39,3,2,2,39,78,4
28,29,4,25,,165,,,11,4.07,1,0,0,,0,0,1,0,70.67,39.98,41.9,1,0,0,0,0,1,1,23.75,2,2,2,23.75,47.5,4
29,30,16,18,,180,,,13,4.29,2,0,0,,0,0,0,0,66.9,39.4,41,1,0,0,0,0,1,1,17.5,2,2,3,26.25,43.75,5
